role_id,jinx_id,reason
vizier,magician,"Si el Visir y el Ilusionista estan ambos en juego, el Demonio no conoce a los Minions."
cannibal,juggler,"Si el Malabarista en su primer dia muere por ejecucion, esta noche el Canibal vivo aprende cuantos malabares tuvo correcto el Malabarista."
pithag,goon,"Si la Hechicera convierte a un jugador del equipo malo en un Maton, ese jugador no puede volverse bueno debido a su propia habilidad."
pithag,cultleader,"Si la Hechicera convierte a un jugador del equipo malo en un Cultista, ese jugador no puede volverse bueno debido a su propia habilidad."
pithag,politician,"Si la Hechicera convierte a un jugador del equipo malo en un Politico, ese jugador no puede volverse bueno debido a su propia habilidad."
spy,damsel,"Si el Espia esta (o estuvo) en juego, la Damisela esta envenenada."
widow,damsel,"Si la Viuda esta (o estuvo) en juego, la Damisela esta envenenada."
cannibal,butler,"Si el Canibal obtiene la habilidad del Mayordomo, el Canibal aprende esto."
cannibal,zealot,"Si el Canibal obtiene la habilidad del Extremista, el Canibal aprende esto."
chambermaid,mathematician,"La Camarer aprende si el Matematico despierta esta noche o no, sin importar que la Camarera despierta primero."
lycanthrope,gambler,"Si el Licantropo esta vivo y el Ludopata se mata a si mismo en la noche, ningun otro jugador puede morir esta noche."
philosopher,bountyhunter,"Si el Filosofo obtiene la habilidad del Cazarrecompensas, un Aldeano puede volverse malo."
lunatic,mathematician,"El Matematico aprende si el Lunatico ataca a un jugador diferente al que el Demonio real ataco."
ogre,recluse,"Si el Reclusa se registra como equipo malo para el Ogro, el Ogro aprende que se volvio malo."
baron,heretic,"El Baron puede agregar solo 1 Forastero, no 2."
baron,plaguedoctor,"Si el Narrador obtiene la habilidad del Baron, hasta dos jugadores pueden convertirse en Forasteros no en juego."
boomdandy,plaguedoctor,"Si el Medico es ejecutado y el Narrador obtendria la habilidad del Senor Bombas, la habilidad del Senor Bombas se activa inmediatamente."
cerenovus,goblin,"El Cerenovus puede escoger que un jugador este 'loco' de que es el Duende."
eviltwin,plaguedoctor,"El Narrador no puede obtener la habilidad de la Gemela Malvada si el Medico muere."
fearmonger,plaguedoctor,"Si el Medico muere, un Minion obtiene la habilidad de la Pesadilla adicionalmente a su propia habilidad, y aprende esto."
goblin,plaguedoctor,"Si el Medico muere, un Minion obtiene la habilidad del Duende adicionalmente a su propia habilidad, y aprende esto."
marionette,balloonist,"Si la Marioneta piensa que es un Aeronauta, +1 Forastero fue anadido."
marionette,damsel,"La Marioneta no aprende que la Damisela esta en juego."
marionette,huntsman,"Si la Marioneta piensa que es un Guardabosques, la Damisela fue anadida."
marionette,lilmonsta,"La Marioneta es vecina de un Minion, no del Demonio. La Marioneta no es despertada para escoger quien cuida al token del Pequeno Demonio, y no aprende que es la Marioneta si tiene el token del Pequeno Demonio."
marionette,plaguedoctor,"Si el Demonio tiene un vecino que esta vivo y es un Aldeano o Forastero cuando el Medico muere, ese jugador se convierte en la Marioneta del equipo malo. Si ya hay un jugador del equipo malo extra, esto no pasa."
marionette,poppygrower,"Cuando la Floricultora muere, el Demonio aprende quien es la Marioneta, pero la Marioneta no aprende nada."
marionette,snitch,"La Marioneta no aprende 3 personajes no en juego. El Demonio aprende 3 extra en su lugar."
organgrinder,butler,"Si el Organillero esta causando votos ciegos, el Mayordomo puede alzar su mano para votar pero el voto solo cuenta si su maestro tambien voto."
pithag,damsel,"Si la Hechicera crea una Damisela, el Narrador escoge cual jugador."
pithag,heretic,"La Hechicera no puede crear a un Hereje."
pithag,ogre,"Si la Hechicera convierte a un jugador del equipo malo en un Ogro, ese jugador no puede volverse bueno debido a su propia habilidad."
pithag,villageidiot,"Si hay un token de sobra, la Hechicera puede crear un Idiota del Pueblo extra. Si lo hace, el Idiota del Pueblo borracho puede cambiar."
scarletwoman,plaguedoctor,"Si el Medico muere, un Minion vivo obtiene la habilidad de la Mujer Escarlata adicionalmente a su propia habilidad, y aprende esto."
spy,magician,"Cuando el Espia ve el Grimoire, los tokens de personaje del Ilusionista y Demonio se remueven."
spy,ogre,"El Espia se registra como equipo malo para el Ogro."
spy,plaguedoctor,"Si el Medico muere, un Minion vivo obtiene la habilidad del Espia adicionalmente a su propia habilidad, y aprende esto."
spy,poppygrower,"Si la Floricultora esta en juego, el Espia no ve el Grimoire hasta que la Floricultora muera."
summoner,alchemist,"Si hay un Alquimista-Invocador en juego, la partida empieza con un Demonio en juego, como usualmente. Si el Alquimista-Invocador escoge a un jugador, ese jugador se convierte en Demonio pero no cambia de equipo."
summoner,clockmaker,"Si el Invocadaor esta en juego, el Relojero no recibe informacion hasta que un Demonio sea creado."
summoner,marionette,"La Marioneta es vecina del Invocador. El Invocador sabe quien es la Marioneta."
summoner,poppygrower,"Si la Floricultora esta viva cuando el Invocador actua, el Invocador escoge que Demonio, pero el Narrador escoge cual jugador."
vizier,alsaahir,"Si el Visir esta en juego, el Alsaahir tiene que adivinar cual Demonio esta en juego."
vizier,alchemist,"Si el Alquimista tiene la habilidad del Visir, solo pueden escoger ejecutar inmediatamente si tres o mas jugadores votaron, sin importar el equipo de esos jugadores."
vizier,courtier,"Si el Visir pierde su habilidad, aprende esto. Si el Visir es ejecutado mientras tiene su habilidad, su equipo gana."
vizier,fearmonger,"El Visir despierta junto con la Pesadilla, aprende quien escoge y no puede elegir ejecutar inmediatamente a ese jugador."
vizier,investigator,"Si el Detective aprende que el Visir esta en juego, la existencia del Visir no es anunciada por el Narrador."
vizier,preacher,"Si el Visir pierde su habilidad, aprende esto. Si el Visir es ejecutado mientras tiene su habilidad, su equipo gana."
vizier,zealot,"El Extremista puede que se registre como del equipo malo para el Visir."
widow,magician,"Cuando la Viuda ve el Grimoire, los tokens de personaje del Ilusionista y Demonio se remueven."
widow,poppygrower,"Si la Floricultora esta en juego, la Viuda no ve el Grimoire hasta que la Floricultora muera."
alhadikhia,scarletwoman,"Si hay dos Al-Hadikhia vivos, la Mujer Escarlata Al-Hadikhia vuelve a convertirse en Mujer Escarlata."
fanggu,scarletwoman,"Si el Fang Gu escoge a un Forastero y muere, la Mujer Escarlata no se convierte en el Fang Gu."
kazali,bountyhunter,"Un Aldeano del equipo malo solamente es creado si el Cazarrecompensas sigue en juego cuando el Kazali actua."
kazali,choirboy,"El Kazali no puede escoger al Rey para que se convierta en Minion si un Corista esta en juego."
kazali,goon,"Si el Kazali escoge al Maton para convertise en Minion, los demas Minions los escoge el Narrador."
kazali,huntsman,"Si el Kazali escoge a la Damisela para convertirse en Minion, y hay un Guardabosques en juego, un jugador del equipo bueno se convierte en la Damisela."
kazali,marionette,"Si el Kazali escoge crear una Marioneta, tiene que escoger a uno de sus vecinos."
legion,engineer,"Legion y el Ingeniero no pueden estar en juego al mismo tiempo al iniciar la partida. Si el Ingeniero crea Legion, la mayoria de los jugadores (incluyendo a todo el equipo malo) se convierte en Legion del equipo malo."
legion,hatter,"Si el Sombrerero muere y Legion esta en juego, no pasa nada. Si el Sombrerero muere y un jugador del equipo malo escoge Legion, la mayoria de los jugadores (incluyendo a todo el equipo malo) se convierte en Legion del equipo malo."
legion,zealot,"El Zealot puede que se registre como del equipo malo para la habilidad de Legion."
leviathan,banshee,"Si Leviatan esta en juego y la Banshee muere por ejecucion, todos los jugadores aprenden que la Banshee murio, y la Banshee obtiene su habilidad."
leviathan,farmer,"Si Leviatan esta en juego y un Granjero muere por ejecucion, un jugador del equipo bueno se convierte en Granjero esta noche."
leviathan,hatter,"Si el Sombrerero muere en o despues del dia 5, el Demonio no puede escoger Leviatan."
leviathan,innkeeper,"Si Leviatan nomina y ejecuta a un jugador que escogio el Tabernero, ese jugador no muere."
leviathan,mayor,"Si Leviatan esta en juego y no ocurren ejecuciones en el dia 5, gana el equipo bueno."
leviathan,monk,"Si Leviatan nomina y ejecuta a un jugador que escogio el Monje, ese jugador no muere."
leviathan,pithag,"Despues del dia 5, la Hechicera no puede escoger Leviatan."
leviathan,ravenkeeper,"Si Leviatan esta en juego y el Cuida-Cuervos muere por ejecucion, se despierta en la noche para usar su habilidad. Esta borracho si el nominador era del equipo bueno."
leviathan,sage,"Si Leviatan esta en juego y el Sabio muere por ejecucion, se despierta en la noche para usar su habilidad. Esta borracho si el nominador era del equipo bueno."
leviathan,soldier,"Si Leviatan nomina y ejecuta al Soldado, el Soldado no muere."
lilmonsta,hatter,"Si el Demonio escoge al Pequeno Demonio, tambien escoge a un Minion para convertirse y esta noche cuida al token del Pequeno Demonio."
lilmonsta,organgrinder,"Votos hechos por el Organillero cuentan si esta cuidando al token del Pequeno Demonio."
lilmonsta,poppygrower,"Si la Floricultora esta en juego, los Minions no despiertan juntos. Se despiertan uno a uno, hasta que uno escoja cuidar al token del Pequeno Demonio."
lilmonsta,scarletwoman,"Si hay 5 o mas jugadores vivos y el jugador que esta cuidando al token del Pequeno Demonio muere, le dan el token del Pequeno Demonio a la Mujer Escarlata esta noche."
lilmonsta,vizier,"El Visir puede morir por ejecucion si esta cuidando al token del Pequeno Demonio."
lleech,heretic,"Si la Sanguijuela enveneno al Hereje, cuando la Sanguijuela muere, el Hereje se mantiene envenenado."
lleech,mastermind,"Si el Maquiavelico esta vivo y el huesped de la Sanguijuela muere por ejecucion, la Sanguijuela vive pero pierde su habilidad."
lleech,slayer,"Si el Cazador le dispara al huesped de la Sanguijuela, se muere el huesped."
riot,banshee,"Si Furia nomina y mata a la Banshee, todos los jugadores aprenden que la Banshee murio, y la Banshee puede nominar a dos jugadores inmediatamente."
riot,butler,"El Mayordomo no puede nominar a su maestro."
riot,cannibal,"Jugadores que mueren por nominacion se registran como si fueran ejecutados para el Canibal."
riot,damsel,"Furia se registra como Minion para la Damisela."
riot,clockmaker,"Furia se registra como Minion para el Relojero."
riot,devilsadvocate,"Jugadores que mueren por nominacion se registran como si fueran ejecutados para el Abogado Corrupto."
riot,engineer,"Furia y el Ingeniero no pueden estar en juego al mismo tiempo al iniciar la partida. Si el Ingeniero crea Furia, todo el equipo malo se convierte en Furia."
riot,exorcist,"Solo uno de los dos personajes puede estar en juego."
riot,farmer,"Si un jugador Furia nomina y mata a un Granjero, el Granjero usa su habilidad esta noche."
riot,flowergirl,"Solo uno de los dos personajes puede estar en juego."
riot,golem,"Si el Golem nomina Furia, el jugador Furia no muere."
riot,grandmother,"Si Furia nomina y mata al Nieto, la Abuelita muere tambien."
riot,hatter,"Si el Sombrerero muere, Furia esta en juego y un Furia escoge a otro Demonio, un equipo malo normal se crea a partir de los jugadores Furia. Si el Sombrerero muere y el Demonio escoge Furia, los Minions se convierten en Furia tambien."
riot,innkeeper,"Si un jugador Furia nomina a un jugador que escogio el Tabernero, ese jugador no muere."
riot,monk,"Si un jugador Furia nomina a un jugador que escogio el Monje, ese jugador no muere."
riot,investigator,"Furia se registra como Minion para el Detective."
riot,king,"Si un jugador Furia nomina y mata al Rey y el Corista esta vivo, el Corista usa su habilidad esta noche."
riot,mayor,"Si el 3er dia empieza con solo tres jugadores vivos, los jugadores pueden escoger (como grupo) no nominar. Si hacen eso (y el Alcalde esta vivo) entonces gana el equipo del Alcalde."
riot,minstrel,"Solo uno de los dos personajes puede estar en juego."
riot,pacifist,"Jugadores que mueren por nominacion se registran como si fueran ejecutados para el Pacifista."
riot,pithag,"Si la Hechicera crea Furia, todo el equipo malo se convierte en Furia. Si la Hechicera crea Furia despues del dia 3, el juego continua por un dia mas."
riot,preacher,"Furia se registra como Minion para el Pastor."
riot,ravenkeeper,"Si un jugador Furia nomina y mata al Cuida-Cuervos, se despierta en la noche para usar su habilidad."
riot,sage,"Si un jugador Furia nomina y mata al Sabio, se despierta en la noche para usar su habilidad."
riot,saint,"Si un jugador del equipo bueno nomina y mata al Santo, pierde el equipo del Santo."
riot,towncrier,"Furia se registra como Minion para el Voceador."
riot,undertaker,"Jugadores que mueren por nominacion se registran como si fueran ejecutados para el Sepulturero."
riot,zealot,"Si te nominan, tienes que nominar otra vez, aun muerto."
vortox,banshee,"Si el Vortox esta en juego y el Demonio mata a la Banshee, los jugadores aun aprenden que la Banshee murio."
yaggababble,exorcist,"Si el Exorcista escoge al Yaggababble, la habilidad del Yaggababble no mata esta noche."
