id,name,edition,team,firstNight,firstNightReminder,otherNight,otherNightReminder,reminders,remindersGlobal,ability,setup
courtier,Cortesano,bmr,townsfolk,19,"El Cortesano ya sea indica un 'no' con la cabeza, o señala a un personaje en la hoja de personajes. Si el Cortesano usó su habilidad: Si el personaje está en juego, ese jugador está borracho.",10,"Reduce el número de días que faltan para el jugador que está borracho. Si el Cortesano no ha usado su habilidad: El Cortesano ya sea indica un 'no' con la cabeza, o señala a un personaje en la hoja de personajes. Si el Cortesano usó su habilidad: Si el personaje está en juego, ese jugador está borracho.","Borracho 1,Borracho 2,Borracho 3,Sin Habilidad",,"Una vez por juego, en la noche, escoge a un personaje: estará borracho por 3 noches y 3 dí­as.",
washerwoman,Lavandera,tb,townsfolk,32,"Muestra el token de personaje de un Aldeano en juego. Señala a dos jugadores, uno de ellos es ese personaje.",0,,"Aldeano,Equivocado",,Comienzas sabiendo que 1 de 2 jugadores es un Aldeano en particular.,
baron,Barón,tb,minion,0,,0,,,,Hay Forasteros extra en el juego. [+2 Forasteros],TRUE
beggar,Limosnero,tb,traveler,0,,0,,,,"Tienes que usar un token de votación para votar. Jugadores muertos pueden decidir darte el suyo. De ser así, aprendes de qué equipo es esa persona. Estas sobrio y saludable.",
bureaucrat,Burócrata,tb,traveler,1,El Burócrata señala a un jugador. Coloca el token de recordatorio '3 votos' del Burócrata junto al token de personaje de la persona escogida.,1,El Burócrata señala a un jugador. Coloca el token de recordatorio '3 votos' del Burócrata junto al token de personaje de la persona escogida.,3 Votos,,"Cada noche, escoge a un jugador (no tú mismo): su voto cuenta como 3 votos mañana.",
butler,Mayordomo,tb,outsider,38,El Mayordomo señala a un jugador. Marca a ese jugador como 'Maestro'.,55,El Mayordomo señala a un jugador. Marca a ese jugador como 'Maestro'.,Maestro,,"Cada noche, escoge a un jugador (no tú mismo): mañana, sólo puedes votar si esa persona está votando.",
drunk,Borracho,tb,outsider,0,,0,,,Es el Borracho,"No sabes que eres el Borracho. Piensas que eres un Aldeano en particular, pero no lo eres.",TRUE
empath,Émpata,tb,townsfolk,36,"Muéstrale la señal numérica (0, 1, 2) indicando el número de vecinos vivos del Émpata que son del equipo malo.",53,"Muéstrale la señal numérica (0, 1, 2) indicando el número de vecinos vivos del Émpata que son del equipo malo.",,,"Cada noche, aprendes cuántos de tus 2 vecinos vivos son del equipo malo.",
fortuneteller,Vidente,tb,townsfolk,37,La Vidente señala a dos jugadores. Da la señal con la cabeza (sí o no) si alguno de esos jugadores es el Demonio.,54,La Vidente señala a dos jugadores. Da la señal con la cabeza (sí o no) si alguno de esos jugadores es el Demonio.,Falso Demonio,,"Cada noche, escoge a 2 jugadores: aprendes si alguno de ellos es el Demonio. Hay un jugador del equipo bueno que se registra como Demonio para ti.",
gunslinger,Pistolero,tb,traveler,0,,0,,,,"Cada día, después de que el primer voto haya sido contado, puedes escoger a un jugador que votó: se muere.",
imp,Imp,tb,demon,0,,24,"El Imp señala a un jugador. Ese jugador muere. Si el Imp se mata a sí mismo de esta manera: Reemplaza el token de personaje de un Minion vivo con un token extra de Imp. Muéstrale la tarjeta de 'Eres' al antigüo Minion, y luego el token de Imp.",Muerto,,"Cada noche*, escoge a un jugador: se muere. Si tú mueres de esta manera, un Minion se convierte en el Imp.",
investigator,Detective,tb,townsfolk,34,"Muestra el token de personaje de un Minion en juego. Señala a dos jugadores, uno de ellos es ese personaje.",0,,"Minion,Equivocado",,Comienzas sabiendo que 1 de 2 jugadores es un Minion en particular.,
librarian,Bibliotecario,tb,townsfolk,33,"Muestra el token de personaje de un Forastero en juego. Señala a dos jugadores, uno de ellos es ese personaje.",0,,"Forastero,Equivocado",,Comienzas sabiendo que 1 de 2 jugadores es un Forastero en particular. (O que hay cero en juego.),
mayor,Alcalde,tb,townsfolk,0,,0,,,,"Si solamente 3 jugadores viven y no sucede ninguna ejecución, tu equipo gana. Si mueres en la noche, algún otro jugador puede morir en tu lugar.",
monk,Monje,tb,townsfolk,0,,13,El jugador previamente protegido ya no está protegido. El Monje señala a un jugador que no sea él mismo. Marca a esa persona como 'Protegido'.,Protegido,,"Cada noche*, escoge a un jugador (no tú mismo): está a salvo del Demonio esta noche.",
poisoner,Envenenador,tb,minion,17,El Envenenador señala a un jugador. Ese jugador está envenenado.,8,El jugador previamente envenenado ya no está envenenado. El Envenenador señala a un jugador. Ese jugador está envenenado.,Envenenado,,"Cada noche, escoge a un jugador: está envenenado esta noche y el día de mañana.",
ravenkeeper,Cuida-Cuervos,tb,townsfolk,0,,42,Si el Cuida-Cuervos murió esta noche: El Cuida-Cuervos señala a un jugador. Muéstrale el token de personaje de ese jugador.,,,"Si te mueres en la noche, te despiertas para escoger a un jugador: aprendes su personaje.",
recluse,Reclusa,tb,outsider,0,,0,,,,"Puede que te registres con el equipo malo y como Minion o Demonio, aún muerto.",
saint,Santo,tb,outsider,0,,0,,,,"Si mueres por ejecución, tu equipo pierde.",
scapegoat,Chivo Expiatorio,tb,traveler,0,,0,,,,"Si un jugador de tu equipo es ejecutado, puede que seas ejecutado en su lugar.",
scarletwoman,Mujer Escarlata,tb,minion,0,,20,"Si la Mujer Escarlata se convirtió en el Demonio hoy: Muéstrale la carta de 'Eres', y luego el token de Demonio.",Demonio,,"Si hay 5 o más jugadores vivos y el Demonio muere, te conviertes en el Demonio. (Viajeros no cuentan)",
slayer,Cazador,tb,townsfolk,0,,0,,Sin Habilidad,,"Una vez por juego, durante el día, públicamente escoge a un jugador: si es el Demonio, se muere.",
soldier,Soldado,tb,townsfolk,0,,0,,,,Estás a salvo del Demonio.,
spy,Espía,tb,minion,48,Muéstrale el Grimoire al Espía por el tiempo que sea necesario.,68,Muéstrale el Grimoire al Espía por el tiempo que sea necesario.,,,"Cada noche, vez el Grimoire. Puede que te registres con el equipo bueno y como un Aldeano o Forastero, aún muerto.",
thief,Ladrón,tb,traveler,1,El Ladrón señala a un jugador. Coloca el recordatorio de 'Voto Negativo' del Ladrón junto al token de personaje del jugador escogido.,1,El Ladrón señala a un jugador. Coloca el recordatorio de 'Voto Negativo' del Ladrón junto al token de personaje del jugador escogido.,Voto Negativo,,"Cada noche, escoge a un jugador (no tú mismo): su voto cuenta negativo mañana.",
undertaker,Sepulturero,tb,townsfolk,0,,56,Si un jugador fue ejecutado hoy: Muéstrale el token de personaje de ese jugador.,Ejecutado,,"Cada noche*, aprendes qué personaje murió por ejecución hoy.",
virgin,Virgen,tb,townsfolk,0,,0,,Sin Habilidad,,"La primera vez que eres nominado, si el nominador es un Aldeano, este es ejecutado inmediatamente.",
apprentice,Aprendíz,bmr,traveler,1,"Muéstrale al Aprendíz la carta de 'Eres', luego un token de Aldeano o Minion.",0,,Es el Aprendíz,,"En tu primera noche, obtienes una habilidad de Aldeano (si estás en el equipo bueno), o la de un Minion (si estás en el malo).",
assassin,Asesino,bmr,minion,0,,37,Si el Asesino no ha usado su habilidad: El Asesino ya sea indica un 'no' con su cabeza o señala a un jugador. Ese jugador muere.,"Muerto,Sin Habilidad",,"Una vez por juego, en la noche*, escoge a un jugador: se muere, aún si por alguna razón no pudiera.",
bishop,Obispo,bmr,traveler,0,,0,,"Nominar Buenos,Nominar Malos",,Solamente el Narrador puede nominar. Al menos un jugador del equipo opuesto debe de ser nominado cada día.,
devilsadvocate,Abogado Corrupto,bmr,minion,22,El Abogado del Diablo señala a un jugador vivo. Ese jugador sobrevive su ejecución mañana.,14,El Abogado del Diablo señala a un jugador vivo diferente al de anoche. Ese jugador sobrevive su ejecución mañana.,Sobrevive Ejecución,,"Cada noche, escoge a un jugador vivo (diferente de anoche): si es ejecutado mañana, no muere.",
exorcist,Exorcista,bmr,townsfolk,0,,22,"El Exorcista señala a un jugador, diferente al de anoche. Si ese jugador es el Demonio: Despierta al Demonio. Muéstrale el token del Exorcista. Señala al Exorcista. El Demonio no actúa esta noche.",Escogido,,"Cada noche*, escoge a un jugador (diferente de anoche): el Demonio, si es escogido, aprende quién eres y no despierta esta noche.",
fool,Bufón,bmr,townsfolk,0,,0,,Sin Habilidad,,"La primera vez que mueres, no lo haces.",
gambler,Ludópata,bmr,townsfolk,0,,11,"El Ludópata señala a un jugador, y a un personaje en la hoja de personajes. Si está incorrecto, el Ludópata muere.",Muerto,,"Cada noche*, escoge a un jugador y adivina su personaje: si adivinas mal, mueres.",
godfather,Padrino,bmr,minion,21,Muéstrale cuáles Forasteros están en juego.,38,Si un Forastero murió en el día: El Padrino señala a un jugador. Esa jugador muere.,"Muerto,Murió Hoy",,"Comienzas sabiendo cuáles Forasteros están en juego. Si 1 murió en el día, escoge a un jugador esta noche: se muere. [-1 o +1 Forastero]",TRUE
goon,Matón,bmr,outsider,0,,0,,Borracho,,"Cada noche, el primer jugador que te escoja con su habilidad está boracho hasta el anochecer. Te vas a su equipo.",
gossip,Chismoso,bmr,townsfolk,0,,47,Si el hecho público del Chismoso fue cierto: Escoge a un jugador no protegido de la muerte esta noche. Ese jugador muere.,Muerto,,"Cada día, puedes decir públicamente un hecho. Esta noche, si fue verdadero, un jugador muere.",
grandmother,Abuelita,bmr,townsfolk,39,Muéstrale el token de personaje marcado. Señala al jugador marcado.,50,Si el Demonio mató al nieto de la Abuelita esta noche: La Abuelita muere.,Nieto,,"Comienzas conociendo a un jugador del equipo bueno y su personaje. Si el Demonio lo mata, mueres también.",
innkeeper,Tabernero,bmr,townsfolk,0,,9,Los jugadores previamente protegidos pierden sus marcadores. El Tabernero señala a dos jugadores. Esos jugadores están protegidos. Uno está borracho.,"Borracho,Protegido",,"Cada noche*, escoge 2 jugadores: no pueden morir esta noche, pero 1 de ellos está borracho hasta el anochecer.",
judge,Juez,bmr,traveler,0,,0,,Sin Habilidad,,"Una vez por juego, si otro jugador nominó, puedes decidir forzar la ejecución para que pase o no.",
lunatic,Lunático,bmr,outsider,7,Si hay 7 o más jugadores: Muéstrale al Lunático un número de Minions arbitrarios según el número de Minions en juego. Muéstrale 3 tokens de personajes del equipo bueno arbitrarios. Si el token recibido por el Lunático es un Demonio que se despertaría esta noche: Deja que el Lunático actúe como dicho Demonio. Coloca sus marcadores de 'Ataque'. Despierta al Demonio. Señala al jugador que es el Lunático y muéstrale el token de personaje. Si el Lunático atacó jugadores: Señala al Demonio cada jugador que fue atacada por el Lunático. Remueve los tokens de 'Ataque'.,21,Deja que el Lunático haga las acciones del Demonio. Coloca sus marcadores de 'Ataque' . Si el Lunático atacó jugadores: Señala al Demonio cada jugador que fue atacada por el Lunático. Remueve los tokens de 'Ataque'.,"Ataque,Ataque 2,Ataque 3",,"Piensas que eres un Demonio, pero no lo eres. El Demonio sabe quién eres y a quién escoges en las noches.",
mastermind,Maquiavélico,bmr,minion,0,,0,,,,"Si el Demonio muere por ejecución (terminando el juego), juega por un día más. Si entonces un jugador es ejecutado, su equipo pierde.",
matron,Matriarca,bmr,traveler,0,,0,,,,"Cada día, puedes escoger hasta 3 sets de 2 jugadores para que cambien de asiento. Ningún jugador puede levantarse a hablar en privado.",
minstrel,Trovador,bmr,townsfolk,0,,0,,Todos Borrachos,,"Cuando un Minion muere por ejecución, todos los demás jugadores (a excepción de los Viajeros) están borrachos hasta el anochecer del día siguiente.",
moonchild,Hijo de la Luna,bmr,outsider,0,,49,"Si el Hijo de la Luna usó su habilidad para escoger a un jugador hoy: Si ese jugador es del equipo bueno, se muere.",Muerto,,"Cuando te das cuenta que moriste, públicamente escoge a un jugador vivo. Esta noche, si era del equipo bueno, se muere.",
pacifist,Pacifista,bmr,townsfolk,0,,0,,,,Jugadores del equipo bueno ejecutados puede que no mueran.,
po,Po,bmr,demon,0,,28,"Si el Po escogió matar a nadie la noche anterior: El Po señala a tres jugadores. Si no: Ya sea el Po indica un 'no' con la cabeza, o señala a un jugador. El jugador señalado se muere.","3 Ataques,Muerto",,"Cada noche*, puedes escoger a un jugador: se muere. Si tu última decisión fue nadie, escoge a 3 personas esta noche.",
professor,Profesor,bmr,townsfolk,0,,45,"Si el Profesor no ha usado su habilidad: El Profesor ya sea indica un 'no' con su cabeza, o señala a un jugador muerto. Si ese jugador es un Aldeano, ahora está vivo.","Vivo,Sin Habilidad",,"Una vez por juego, en la noche*, escoge a un jugador muerto: si es un Aldeano, es resucitado.",
pukka,Pukka,bmr,demon,28,El Pukka señala a un jugador. Ese jugador está envenenado.,28,El Pukka señala a un jugador. Ese jugador está envenenado. El jugador previamente envenenado muere.,"Muerto,Envenenado",,"Cada noche, escoge a un jugador: está envenenado. El jugador previamente envenenado muere y se cura.",
sailor,Marinero,bmr,townsfolk,10,"El Marinero señala a un jugador vivo. Ya sea el Marinero, o el jugadore escogido, está borracho.",4,"El jugador previamente emborrachado ya no lo está. El Marinero señala a un jugador vivo. Ya sea el Marinero, o el jugadore escogido, está borracho.",Borracho,,"Cada noche, escoge a un jugador vivo: uno de ustedes está borracho hasta el anochecer. No puedes morir.",
shabaloth,Shabaloth,bmr,demon,0,,27,Un jugador que el Shabaloth haya escogido anoche puede que sea resucitado. El Shabaloth señala a dos jugadores. Esos jugadores mueren.,"Vivo,Muerto",,"Cada noche*, escoge a 2 jugadores: se mueren. Un jugador muerto que escogiste anoche puede que sea regurgitado.",
tealady,Señora del Té,bmr,townsfolk,0,,0,,"No Puede Morir,No Puede Morir",,"Si ambos de tus vecinos vivos son del equipo bueno, no pueden morir.",
tinker,Trabajador,bmr,outsider,0,,0,,Muerto,,Puede que mueras en cualquier momento.,
voudon,Vudú,bmr,traveler,0,,0,,,,Solamente tú y los muertos pueden votar. No necesitan un token de voto para hacerlo. Un 50% de mayoría no es requerido.,
zombuul,Zombuul,bmr,demon,0,,25,Si nadie muró durante el día: El Zombuul señala a un jugador. Ese jugador se muere.,"Muerto,Murió Hoy",,"Cada noche*, si nadie murió hoy, escoge a un jugador: se muere. La primera vez que mueres, vives pero te registras como muerto.",
barber,Peluquero,snv,outsider,0,,40,"Si el Peluquero murió hoy: Despierta al Demonio. Muéstrale la carta de 'Este personaje te seleccionó', y luego el token del Peluquero. El Demonio ya sea indica un 'no' con su cabeza, o señala a 2 jugadores. Si escogió a los jugadores: Intercambia sus personajes. Despierta a cada uno de ellos. Muéstrale la carta de 'Eres', y luego su nuevo token de personaje.",Cortando el Pelo,,"Si moriste en el día o en la noche, el Demonio puede escoger a 2 jugadores (no otro Demonio) para cambiar de personajes.",
barista,Barista,snv,traveler,1,"Escoge a un jugador, despiértale y dile cuál de las dos habilidades del Barista le está afectando.",1,"Escoge a un jugador, despiértale y dile cuál de las dos habilidades del Barista le está afectando.","Habilidad Doble,Sobrio y Saludable",,"Cada noche, hasta el anochecer, 1) un jugador se vuelve sobrio, saludable y obtiene información correcta, o 2) su habilidad funciona dos veces. Dicho jugador aprende cuál.",
bonecollector,Huesero,snv,traveler,0,,1,"El Huesero ya sea indica un 'no' con su cabeza o señala a un jugador muerto. Si señaló a un jugador muerto, coloca el recordatorio del Huesuero de 'Tiene Habilidad' junto al token de personaje del jugador seleccionado. (Puede que necesites despertarle esta noche para que la use.)","Tiene Habilidad,Sin Habilidad",,"Una vez por juego, en la noche*, escoge a un jugador muerto: obtiene su habilidad hasta el anochecer.",
butcher,Carnicero,snv,traveler,0,,0,,,,"Cada día, después de la primera ejecución, puedes nominar otra vez.",
cerenovus,Cerenovus,snv,minion,25,"El Cerenovus señala a un jugador, luego a un personaje en su hoja de personajes. Despierta a ese jugador. Muéstrale la carta de 'Este personaje te seleccionó', luego el token de Cerenovus. Muéstrale el token de personaje. Si el jugador no está loco diciendo que es dicho personaje mañana, puede ser ejecutado.",16,"El Cerenovus señala a un jugador, luego a un personaje en su hoja de personajes. Despierta a ese jugador. Muéstrale la carta de 'Este personaje te seleccionó', luego el token de Cerenovus. Muéstrale el token de personaje. Si el jugador no está loco diciendo que es dicho personaje mañana, puede ser ejecutado.",Loco,,"Cada noche, escoge a un jugador y a un personaje del equipo bueno: mañana estará 'loco' de que es dicho personaje, o puede que sea ejecutado.",
deviant,Degenerado,snv,traveler,0,,0,,,,"Si fuiste gracioso hoy, no puedes morir por exilio.",
dreamer,Soñador,snv,townsfolk,41,El Soñador señala a un jugador. Muéstrale un personaje del equipo bueno y uno del malo; sólo uno de esos dos es correcto.,57,El Soñador señala a un jugador. Muéstrale un personaje del equipo bueno y uno del malo; sólo uno de esos dos es correcto.,,,"Cada noche, escoge a un jugador (no tú mismo o Viajeros): aprendes un personaje del equipo bueno y uno del malo, 1 de ellos es correctos.",
eviltwin,Gemela Malvada,snv,minion,23,Despierta a la Gemela Malvada y a su contraparte. Confirma que ambas gemelas se conocieron. Señala a la Gemela Malvada. Muéstrale el token de Gemela Malvada a su contraparte. Señala a la otra gemela y muéstrale a la Gemela Malvada su token de personaje.,0,,Gemela,,"Tú y un jugador del equipo opuesto se conocen. Si la Gemela Buena es ejecutada, ganan los malos. Los buenos no pueden ganar si ambas gemelas están vivas.",
fanggu,Fang Gu,snv,demon,0,,29,"El Fang Gu señala a un jugador. Ese jugador muere. O, si ese jugador era un Forastero y no hay otro Fang Gu en juego: El Fang Gu se muere en lugar del jugador seleccionado. El jugador seleccionado ahora es un Fang Gu del equipo malo. Despierta al nuevo Fang Gu. Muéstrale la carta de 'Eres', y luego el token de Fang Gu. Muéstrale otra vez la carta de 'Eres' y hazle la señal del equipo malo, pulgar hacia abajo.","Muerto,Sin Salto",,"Cada noche*, escoge a un jugador: se muere. El primer Forastero que se muera así se convierte en un Fang Gu del equipo malo y tú mueres en su lugar. [+1 Forastero]",TRUE
flowergirl,Niña de las Flores,snv,townsfolk,0,,58,Indica con la cabeza un 'sí' o 'no' si un Demonio votó hoy o no.,"Demonio Votó,Demonio No Votó",,"Cada noche*, aprendes si un Demonio votó en el día.",
harlot,Mujerzuela,snv,traveler,0,,1,"La Mujerzuela señala a un jugador vivo. Luego, pon a la Mujerzuela a dormir. Despierta al jugador seleccionado, muéstrale la carta de 'Este personaje te seleccionó' y el token de la Mujerzuela. Ese jugador indica ya sea un 'sí' o 'no' con su cabeza. Si dice que sí, despierta a la Mujerzuela y muéstrale el token de personaje del jugador seleccionado. Luego, tú decides si mueren ambos.",Muerto,,"Cada noche*, escoge a un jugador vivo: si aceptan, aprendes cuál es su personaje, pero puede que ambos mueran.",
juggler,Malabarista,snv,townsfolk,0,,62,"Si hoy fue el primer día del Malabarista: Muéstrale la señal numérica (0, 1, 2, ...) por cada token de 'Correcto' registrado. Remueve los tokens.",Correcto,,"En tu primer día, públicamente adivina el personaje de hasta 5 jugadores. Esa noche, aprendes cuántos tuviste correctos.",
klutz,Torpe,snv,outsider,0,,0,,,,"Cuando te das cuenta que moriste, públicamente escoge a un jugador vivo: si es del equipo malo, tu equipo pierde.",
mathematician,Matemático,snv,townsfolk,51,"Muéstrale la señal numérica (0, 1, 2, …) indicando el número de jugadores cuyas habilidades malfuncionaron debido a habilidades de otros jugadores.",71,"Muéstrale la señal numérica (0, 1, 2, …) indicando el número de jugadores cuyas habilidades malfuncionaron debido a habilidades de otros jugadores.",Anormal,,"Cada noche, aprendes cuántas habilidades de los jugadores funcionaron de manera anormal (desde el amanecer) debido a habilidades de otros jugadores.",
mutant,Mutante,snv,outsider,0,,0,,,,"Si estás 'loco' de que eres un Forastero, puede que seas ejecutado.",
nodashii,No Dashii,snv,demon,0,,30,El No Dashii señala a un jugador. Ese jugador muere.,"Muerto,Envenenado,Envenenado",,"Cada noche*, escoge a un jugador: se muere. Tus 2 vecinos Aldeanos están envenenados.",
oracle,Oráculo,snv,townsfolk,0,,60,"Muéstrale la señal numérica (0, 1, 2, …) indicando el número de jugadores muertos del equipo malo.",,,"Cada noche*, aprendes cuántos jugadores muertos son del equipo malo.",
philosopher,Filósofo,snv,townsfolk,2,"El Filósofo ya sea indica un 'no' con su cabeza, o señala a un personaje del equipo bueno en su hoja de personaje. Intercambia el personaje fuera del juego con el del Filósofo. O, si el personaje está en juego, coloca el marcador de borracho junto al token del personaje en juego.",2,"Si el Filósofo no ha utilizado su habilidad: El Filósofo ya sea indica un 'no' con su cabeza, o señala a un personaje del equipo bueno en su hoja de personaje. Intercambia el personaje fuera del juego con el del Filósofo. O, si el personaje está en juego, coloca el marcador de borracho junto al token del personaje en juego.",,"Es el Filósofo,Borracho","Una vez por juego, en la noche, escoge a un personaje del equipo bueno: obtienes su habilidad. Si ese personaje está en juego, está borracho.",
pithag,Hechicera,snv,minion,0,,17,"La Hechicera señala a un jugador y a un personaje en la hoja de personajes. Si el personaje no está en juego, despierta al jugador seleccionado y luego muéstrale la carta de 'Eres' y el token de personaje relevante. Si está en juego, no pasa nada.",,,"Cada noche*, escoge a un jugador y un personaje. Se convierte en ese personaje (si no está en juego). Si un Demonio es creado, las muertes esta noche son arbitrareas.",
sage,Sabio,snv,townsfolk,0,,43,"Si el Demonio mató al Sabio: Señala a dos jugadores, uno de ellos es el Demonio.",,,"Si el Demonio te mata, aprendes quién es entre 2 jugadores.",
savant,Prodigio,snv,townsfolk,0,,0,,,,"Cada día, puedes visitar al Narrador para aprender 2 cosas en privado: una de verdadera y la otra es falsa.",
seamstress,Costurera,snv,townsfolk,42,"La Costurera ya sea indica un 'no' con su cabeza, o señala a dos jugadores. Si la Costurera escogió jugadores, indica un 'sí' o 'no' con la cabeza si son o no del mismo equipo.",61,"Si la Costurera no ha usado su habilidad: La Costurera ya sea indica un 'no' con su cabeza, o señala a dos jugadores. Si la Costurera escogió jugadores, indica un 'sí' o 'no' con la cabeza si son o no del mismo equipo.",Sin Habilidad,,"Una vez por juego, en la noche, escoge a 2 jugadores (no tú mismo): aprendes si son del mismo equipo.",
snakecharmer,Hipnotizador,snv,townsfolk,20,"El Hipnotizador señala a un jugador. Si ese jugador es el Demonio: intercambia el Demonio con el Hipnotizador, como también de qué equipo juegan. Despierta a cada jugador para informarles de su nuevo personaje y equipo. El nuevo Hipnotizador está envenenado.",12,"El Hipnotizador señala a un jugador. Si ese jugador es el Demonio: intercambia el Demonio con el Hipnotizador, como también de qué equipo juegan. Despierta a cada jugador para informarles de su nuevo personaje y equipo. El nuevo Hipnotizador está envenenado.",Envenenado,,"Cada noche, escoge a un jugador vivo: un Demonio seleccionado intercambia personajes y equipo contigo, después se envenena.",
sweetheart,Querida,snv,outsider,0,,41,Escoge a un jugador que estará borracho por el resto de la partida.,Borracho,,"Cuando mueres, un jugador está borracho de ahora en adelante.",
towncrier,Voceador,snv,townsfolk,0,,59,Indica con la cabeza un 'sí' o 'no' si un Minion nominó hoy o no.,"Minion Nominó,Minion No Nominó",,"Cada noche*, aprendes si un Minion nominó en el día.",
vigormortis,Vigormortis,snv,demon,0,,32,"El Vigormortis señala a un jugador. Ese jugador se muere. Si es un Minion, mantiene su habilidad y uno de sus vecinos Aldeanos está envenenado.","Muerto,Tiene Habilidad,Envenenado",,"Cada noche*, escoge a un jugador: se muere. Minions que mates mantienen su habilidad y envenenan a un Aldeano vecino. [-1 Forastero]",TRUE
vortox,Vortox,snv,demon,0,,31,El Vortox señala a un jugador. Ese jugador se muere.,Muerto,,"Cada noche*, escoge a un jugador: se muere. Las habilidades de los Aldeanos generan información incorrecta. Cada día, si nadie es ejecutado, gana el equipo malo.",
witch,Bruja,snv,minion,24,"La Bruja señala a un jugador. Si ese jugador nomina mañana, muere inmediatamente.",15,"Si hay 4 o más jugadores vivos: La Bruja señala a un jugador. Si ese jugador nomina mañana, muere inmediatamente.",Maldecido,,"Cada noche, escoge a un jugador: si mañana nomina, se muere. Si solamente quedan 3 personas vivas, pierdes la habilidad.",
steward,Ayudante,,townsfolk,42,Señala a un jugador del equipo bueno.,0,,Instructor,,Comienzas conociendo a un jugador del equipo bueno.,
knight,Caballero,,townsfolk,41,Señala a dos jugadores que no sean el Demonio.,0,,Limpios,,Comienzas conociendo a 2 jugadores que no son el Demonio.,
pixie,Hada,,townsfolk,29,Muéstrale a el Hada el token de un Aldeano que esté en juego.,0,,"Loca,Tiene Su Habilidad",,"Comienzas sabiendo uno de los Aldeanos en juego. Si estás 'loca' de que eres este personaje, ganas su habilidad cuando muera.",
noble,Noble,,townsfolk,43,"Señala a 3 jugadores incluyendo a uno del equipo malo, sin importar el orden.",0,,"Visto,Visto,Visto",,"Comienzas sabiendo que de 3 jugadores, 1 y solo 1 de ellos es del equipo malo.",
highpriestess,Gran Sacerdotisa,,townsfolk,44,Señala al jugador con el que pienses que debería de hablar más la Gran Sacerdotisa.,68,Señala al jugador con el que pienses que debería de hablar más la Gran Sacerdotisa.,Aliado,,"Cada noche, aprende con qué jugador el Narrador piensa que deberías de hablarle más.",
