,id,image
29,highpriestess,https://wiki.bloodontheclocktower.com//images/6/63/Icon_highpriestess.png
30,huntsman,https://wiki.bloodontheclocktower.com//images/a/a1/Icon_huntsman.png
31,innkeeper,https://wiki.bloodontheclocktower.com//images/0/0c/Icon_innkeeper.png
32,investigator,https://wiki.bloodontheclocktower.com//images/a/ad/Icon_investigator.png
33,juggler,https://wiki.bloodontheclocktower.com//images/4/42/Icon_juggler.png
34,king,https://wiki.bloodontheclocktower.com//images/d/dc/Icon_king.png
35,knight,https://wiki.bloodontheclocktower.com//images/8/8e/Icon_knight.png
36,librarian,https://wiki.bloodontheclocktower.com//images/e/e0/Icon_librarian.png
37,lycanthrope,https://wiki.bloodontheclocktower.com//images/9/92/Icon_lycanthrope.png
38,magician,https://wiki.bloodontheclocktower.com//images/9/93/Icon_magician.png
39,mathematician,https://wiki.bloodontheclocktower.com//images/f/f1/Icon_mathematician.png
40,mayor,https://wiki.bloodontheclocktower.com//images/a/a1/Icon_mayor.png
41,minstrel,https://wiki.bloodontheclocktower.com//images/2/24/Icon_minstrel.png
42,monk,https://wiki.bloodontheclocktower.com//images/7/7c/Icon_monk.png
43,nightwatchman,https://wiki.bloodontheclocktower.com//images/f/f0/Icon_nightwatchman.png
44,noble,https://wiki.bloodontheclocktower.com//images/c/cc/Icon_noble.png
45,oracle,https://wiki.bloodontheclocktower.com//images/b/bb/Icon_oracle.png
46,pacifist,https://wiki.bloodontheclocktower.com//images/5/5d/Icon_pacifist.png
47,philosopher,https://wiki.bloodontheclocktower.com//images/5/5d/Icon_philosopher.png
48,pixie,https://wiki.bloodontheclocktower.com//images/d/d5/Icon_pixie.png
49,poppygrower,https://wiki.bloodontheclocktower.com//images/9/91/Icon_poppygrower.png
50,preacher,https://wiki.bloodontheclocktower.com//images/8/82/Icon_preacher.png
51,professor,https://wiki.bloodontheclocktower.com//images/6/65/Icon_professor.png
52,ravenkeeper,https://wiki.bloodontheclocktower.com//images/e/ef/Icon_ravenkeeper.png
53,sage,https://wiki.bloodontheclocktower.com//images/a/a0/Icon_sage.png
54,sailor,https://wiki.bloodontheclocktower.com//images/1/16/Icon_sailor.png
55,savant,https://wiki.bloodontheclocktower.com//images/d/d5/Icon_savant.png
56,seamstress,https://wiki.bloodontheclocktower.com//images/5/53/Icon_seamstress.png
57,shugenja,https://wiki.bloodontheclocktower.com//images/1/11/Icon_shugenja.png
58,slayer,https://wiki.bloodontheclocktower.com//images/d/d3/Icon_slayer.png
59,snakecharmer,https://wiki.bloodontheclocktower.com//images/0/08/Icon_snakecharmer.png
60,soldier,https://wiki.bloodontheclocktower.com//images/c/c3/Icon_soldier.png
61,steward,https://wiki.bloodontheclocktower.com//images/f/fe/Icon_steward.png
62,tealady,https://wiki.bloodontheclocktower.com//images/1/16/Icon_tealady.png
63,towncrier,https://wiki.bloodontheclocktower.com//images/e/ef/Icon_towncrier.png
64,undertaker,https://wiki.bloodontheclocktower.com//images/0/05/Icon_undertaker.png
65,villageidiot,https://wiki.bloodontheclocktower.com//images/d/da/Icon_villageidiot.png
66,virgin,https://wiki.bloodontheclocktower.com//images/d/d3/Icon_virgin.png
67,washerwoman,https://wiki.bloodontheclocktower.com//images/8/85/Icon_washerwoman.png
0,barber,https://wiki.bloodontheclocktower.com//images/1/16/Icon_barber.png
1,butler,https://wiki.bloodontheclocktower.com//images/1/19/Icon_butler.png
2,damsel,https://wiki.bloodontheclocktower.com//images/d/dc/Icon_damsel.png
3,drunk,https://wiki.bloodontheclocktower.com//images/4/4a/Icon_drunk.png
4,golem,https://wiki.bloodontheclocktower.com//images/2/2b/Icon_golem.png
5,goon,https://wiki.bloodontheclocktower.com//images/6/6f/Icon_goon.png
6,hatter,https://wiki.bloodontheclocktower.com//images/4/44/Icon_hatter.png
7,heretic,https://wiki.bloodontheclocktower.com//images/4/4a/Icon_heretic.png
8,klutz,https://wiki.bloodontheclocktower.com//images/b/bc/Icon_klutz.png
9,lunatic,https://wiki.bloodontheclocktower.com//images/6/64/Icon_lunatic.png
10,moonchild,https://wiki.bloodontheclocktower.com//images/d/dc/Icon_moonchild.png
11,mutant,https://wiki.bloodontheclocktower.com//images/2/2e/Icon_mutant.png
12,ogre,https://wiki.bloodontheclocktower.com//images/2/25/Icon_ogre.png
13,plaguedoctor,https://wiki.bloodontheclocktower.com//images/e/e2/Icon_plaguedoctor.png
14,politician,https://wiki.bloodontheclocktower.com//images/a/a3/Icon_politician.png
15,puzzlemaster,https://wiki.bloodontheclocktower.com//images/7/7a/Icon_puzzlemaster.png
16,recluse,https://wiki.bloodontheclocktower.com//images/6/60/Icon_recluse.png
17,saint,https://wiki.bloodontheclocktower.com//images/c/c9/Icon_saint.png
18,snitch,https://wiki.bloodontheclocktower.com//images/c/c1/Icon_snitch.png
19,sweetheart,https://wiki.bloodontheclocktower.com//images/6/6a/Icon_sweetheart.png
20,tinker,https://wiki.bloodontheclocktower.com//images/9/98/Icon_tinker.png
21,zealot,https://wiki.bloodontheclocktower.com//images/1/16/Icon_zealot.png
0,assassin,https://wiki.bloodontheclocktower.com//images/4/49/Icon_assassin.png
1,baron,https://wiki.bloodontheclocktower.com//images/6/6d/Icon_baron.png
2,boffin,https://wiki.bloodontheclocktower.com//images/e/e0/Icon_boffin.png
3,boomdandy,https://wiki.bloodontheclocktower.com//images/2/20/Icon_boomdandy.png
4,cerenovus,https://wiki.bloodontheclocktower.com//images/4/45/Icon_cerenovus.png
5,devilsadvocate,https://wiki.bloodontheclocktower.com//images/0/09/Icon_devilsadvocate.png
6,eviltwin,https://wiki.bloodontheclocktower.com//images/f/f4/Icon_eviltwin.png
7,fearmonger,https://wiki.bloodontheclocktower.com//images/1/11/Icon_fearmonger.png
8,goblin,https://wiki.bloodontheclocktower.com//images/e/e2/Icon_goblin.png
9,godfather,https://wiki.bloodontheclocktower.com//images/d/d0/Icon_godfather.png
10,harpy,https://wiki.bloodontheclocktower.com//images/d/d3/Icon_harpy.png
11,marionette,https://wiki.bloodontheclocktower.com//images/c/cf/Icon_marionette.png
12,mastermind,https://wiki.bloodontheclocktower.com//images/d/d5/Icon_mastermind.png
13,mezepheles,https://wiki.bloodontheclocktower.com//images/f/f2/Icon_mezepheles.png
14,organgrinder,https://wiki.bloodontheclocktower.com//images/6/61/Icon_organgrinder.png
15,pithag,https://wiki.bloodontheclocktower.com//images/6/6b/Icon_pithag.png
16,poisoner,https://wiki.bloodontheclocktower.com//images/b/b1/Icon_poisoner.png
17,psychopath,https://wiki.bloodontheclocktower.com//images/a/a3/Icon_psychopath.png
18,scarletwoman,https://wiki.bloodontheclocktower.com//images/1/13/Icon_scarletwoman.png
19,spy,https://wiki.bloodontheclocktower.com//images/5/54/Icon_spy.png
20,summoner,https://wiki.bloodontheclocktower.com//images/1/1a/Icon_summoner.png
21,vizier,https://wiki.bloodontheclocktower.com//images/a/a4/Icon_vizier.png
22,widow,https://wiki.bloodontheclocktower.com//images/9/99/Icon_widow.png
23,witch,https://wiki.bloodontheclocktower.com//images/7/7b/Icon_witch.png
24,wizard,https://wiki.bloodontheclocktower.com//images/b/b5/Icon_wizard.png
25,xaan,https://wiki.bloodontheclocktower.com//images/0/0c/Icon_xaan.png
0,alhadikhia,https://wiki.bloodontheclocktower.com//images/1/18/Icon_alhadikhia.png
1,fanggu,https://wiki.bloodontheclocktower.com//images/0/0e/Icon_fanggu.png
2,imp,https://wiki.bloodontheclocktower.com//images/5/5c/Icon_imp.png
3,kazali,https://wiki.bloodontheclocktower.com//images/3/3c/Icon_kazali.png
4,legion,https://wiki.bloodontheclocktower.com//images/c/cb/Icon_legion.png
5,leviathan,https://wiki.bloodontheclocktower.com//images/a/a7/Icon_leviathan.png
6,lilmonsta,https://wiki.bloodontheclocktower.com//images/c/c3/Icon_lilmonsta.png
7,lleech,https://wiki.bloodontheclocktower.com//images/7/70/Icon_lleech.png
8,lordoftyphon,https://wiki.bloodontheclocktower.com//images/c/cf/Icon_lordoftyphon.png
9,nodashii,https://wiki.bloodontheclocktower.com//images/e/eb/Icon_nodashii.png
10,ojo,https://wiki.bloodontheclocktower.com//images/6/6f/Icon_ojo.png
11,po,https://wiki.bloodontheclocktower.com//images/b/b2/Icon_po.png
12,pukka,https://wiki.bloodontheclocktower.com//images/f/f4/Icon_pukka.png
13,riot,https://wiki.bloodontheclocktower.com//images/2/2d/Icon_riot.png
14,shabaloth,https://wiki.bloodontheclocktower.com//images/1/1f/Icon_shabaloth.png
15,vigormortis,https://wiki.bloodontheclocktower.com//images/1/1a/Icon_vigormortis.png
16,vortox,https://wiki.bloodontheclocktower.com//images/8/89/Icon_vortox.png
17,yaggababble,https://wiki.bloodontheclocktower.com//images/0/08/Icon_yaggababble.png
18,zombuul,https://wiki.bloodontheclocktower.com//images/1/15/Icon_zombuul.png
0,apprentice,https://wiki.bloodontheclocktower.com//images/0/03/Icon_apprentice.png
1,barista,https://wiki.bloodontheclocktower.com//images/2/24/Icon_barista.png
2,beggar,https://wiki.bloodontheclocktower.com//images/e/e3/Icon_beggar.png
3,bishop,https://wiki.bloodontheclocktower.com//images/7/71/Icon_bishop.png
4,bonecollector,https://wiki.bloodontheclocktower.com//images/9/9e/Icon_bonecollector.png
5,bureaucrat,https://wiki.bloodontheclocktower.com//images/b/b1/Icon_bureaucrat.png
6,butcher,https://wiki.bloodontheclocktower.com//images/e/e3/Icon_butcher.png
7,deviant,https://wiki.bloodontheclocktower.com//images/a/a5/Icon_deviant.png
8,gangster,https://wiki.bloodontheclocktower.com//images/a/a5/Icon_gangster.png
9,gnome,https://wiki.bloodontheclocktower.com//images/e/e0/Icon_gnome.png
10,gunslinger,https://wiki.bloodontheclocktower.com//images/1/1c/Icon_gunslinger.png
11,harlot,https://wiki.bloodontheclocktower.com//images/6/60/Icon_harlot.png
12,judge,https://wiki.bloodontheclocktower.com//images/5/59/Icon_judge.png
13,matron,https://wiki.bloodontheclocktower.com//images/2/21/Icon_matron.png
14,scapegoat,https://wiki.bloodontheclocktower.com//images/3/3a/Icon_scapegoat.png
15,thief,https://wiki.bloodontheclocktower.com//images/7/77/Icon_thief.png
16,voudon,https://wiki.bloodontheclocktower.com//images/6/6d/Icon_voudon.png
0,angel,https://wiki.bloodontheclocktower.com//images/c/ca/Icon_angel.png
1,bootlegger,https://wiki.bloodontheclocktower.com//images/0/08/Icon_bootlegger.png
2,buddhist,https://wiki.bloodontheclocktower.com//images/2/25/Icon_buddhist.png
3,djinn,https://wiki.bloodontheclocktower.com//images/8/86/Icon_djinn.png
4,doomsayer,https://wiki.bloodontheclocktower.com//images/8/8f/Icon_doomsayer.png
5,duchess,https://wiki.bloodontheclocktower.com//images/8/87/Icon_duchess.png
6,ferryman,https://wiki.bloodontheclocktower.com//images/8/8f/Icon_ferryman.png
7,fibbin,https://wiki.bloodontheclocktower.com//images/2/2e/Icon_fibbin.png
8,fiddler,https://wiki.bloodontheclocktower.com//images/e/e5/Icon_fiddler.png
9,gardener,https://wiki.bloodontheclocktower.com//images/5/5c/Icon_gardener.png
10,hellslibrarian,https://wiki.bloodontheclocktower.com//images/6/65/Icon_hellslibrarian.png
11,revolutionary,https://wiki.bloodontheclocktower.com//images/9/94/Icon_revolutionary.png
12,sentinel,https://wiki.bloodontheclocktower.com//images/d/d4/Icon_sentinel.png
13,spiritofivory,https://wiki.bloodontheclocktower.com//images/9/96/Icon_spiritofivory.png
14,stormcatcher,https://wiki.bloodontheclocktower.com//images/0/08/Icon_stormcatcher.png
15,toymaker,https://wiki.bloodontheclocktower.com//images/2/27/Icon_toymaker.png
